nthreads,npoints,run_index,time
1,5000,1,24.882000
1,5000,2,24.868000
1,5000,3,24.869000
1,5000,4,24.850000
1,5000,5,24.844000
1,5000,6,24.851000
1,5000,7,24.864000
1,5000,8,25.021000
1,5000,9,25.037000
1,5000,10,24.892000
2,5000,1,18.568000
2,5000,2,18.507000
2,5000,3,19.627000
2,5000,4,18.538000
2,5000,5,18.630000
2,5000,6,18.376000
2,5000,7,18.408000
2,5000,8,18.163000
2,5000,9,18.094000
2,5000,10,18.168000
4,5000,1,16.327000
4,5000,2,16.296000
4,5000,3,16.340000
4,5000,4,16.742000
4,5000,5,16.274000
4,5000,6,16.263000
4,5000,7,16.336000
4,5000,8,16.285000
4,5000,9,16.326000
4,5000,10,16.299000
8,5000,1,8.754000
8,5000,2,8.755000
8,5000,3,8.693000
8,5000,4,8.661000
8,5000,5,8.689000
8,5000,6,8.979000
8,5000,7,9.080000
8,5000,8,8.987000
8,5000,9,8.978000
8,5000,10,9.036000
16,5000,1,5.688000
16,5000,2,5.623000
16,5000,3,5.657000
16,5000,4,5.798000
16,5000,5,5.528000
16,5000,6,5.640000
16,5000,7,5.640000
16,5000,8,5.642000
16,5000,9,5.625000
16,5000,10,5.723000
