t,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9
0.0,0,0,5.791e+10,0,1.082e+11,0,1.496e+11,0,2.279e+11,0,7.785e+11,0,1.433e+12,0,2.875e+12,0,4.504e+12,0
86400,2101.224921,0,5.761450101e+10,4095360000,1.081153566e+11,3025728000,1.495557215e+11,2573251200,2.278809226e+11,2080252800,7.784983655e+11,1128384000,1.432999515e+12,837216000,2.87499988e+12,588384000,4.503999951e+12,472608000
172800,6303.908553,13.98189997,5.702271244e+10,8169658845,1.079460367e+11,6049086100,1.494671579e+11,5145740421,2.278427671e+11,4160331416,7.784950966e+11,2256765630,1.432998546e+12,1674431719,2.874999639e+12,1176767976,4.503999853e+12,945215994.9
259200,12607.83629,55.97647078,5.613530566e+10,1.220160385e+10,1.076920736e+11,9067700691,1.493343158e+11,7716705234,2.277855341e+11,6240061633,7.784901932e+11,3385142519,1.432997091e+12,2511646876,2.874999279e+12,1765151902,4.503999706e+12,1417823980
345600,21012.33678,140.0423201,5.495445951e+10,1.616976589e+10,1.073535675e+11,1.207919633e+10,1.491572148e+11,1.028538298e+10,2.27709226e+11,8319269223,7.784836554e+11,4513512297,1.432995152e+12,3348861190,2.874998798e+12,2353535755,4.50399951e+12,1890431949
432000,31516.27458,280.2435478,5.348390102e+10,2.005268207e+10,1.069306853e+11,1.508119761e+10,1.489358879e+11,1.2851011e+10,2.276138468e+11,1.039777995e+10,7.784754831e+11,5641872594,1.432992728e+12,4186074381,2.874998197e+12,2941919511,4.503999266e+12,2363039898
518400,44118.04391,490.626089,5.172894003e+10,2.382896603e+10,1.064236611e+11,1.807133109e+10,1.48670381e+11,1.541282687e+10,2.274994019e+11,1.24754196e+10,7.784656763e+11,6770221040,1.43298982e+12,5023286166,2.874997475e+12,3530303144,4.503998972e+12,2835647821
604800,58815.56379,785.1927696,4.969649645e+10,2.74774258e+10,1.058327965e+11,2.104722718e+10,1.483607534e+11,1.797006862e+10,2.273658984e+11,1.455201398e+10,7.784542352e+11,7898555264,1.432986426e+12,5860496266,2.874996634e+12,4118686630,4.503998629e+12,3308255714
691200,75606.27476,1177.877128,4.739511907e+10,3.097718883e+10,1.051584601e+11,2.40065221e+10,1.480070774e+11,2.052197494e+10,2.272133449e+11,1.662738893e+10,7.784411596e+11,9026872896,1.432982548e+12,6697704399,2.874995672e+12,4707069945,4.503998237e+12,3780863571
777600,94487.13733,1682.51609,4.483499438e+10,3.430783368e+10,1.04401088e+11,2.694685983e+10,1.476094386e+11,2.306778546e+10,2.270417518e+11,1.870137035e+10,7.784264496e+11,1.015517157e+10,1.432978185e+12,7534910284,2.87499459e+12,5295453065,4.503997797e+12,4253471387
864000,115454.6326,2312.821627,4.202794411e+10,3.744952779e+10,1.035611836e+11,2.986589404e+10,1.471679358e+11,2.560674094e+10,2.268511308e+11,2.077378422e+10,7.784101053e+11,1.12834489e+10,1.432973338e+12,8372113641,2.874993388e+12,5883835964,4.503997307e+12,4726079157
950400,138504.7648,3082.351554,3.898741022e+10,4.038317017e+10,1.026393175e+11,3.276129008e+10,1.466826808e+11,2.813808352e+10,2.266414952e+11,2.284445658e+10,7.783921267e+11,1.241170254e+10,1.432968005e+12,9209314188,2.874992065e+12,6472218619,4.503996768e+12,5198686876
